pretraining_mu_tasks,hid_dim,layer,head,default_sigma,converged,converged_epoch
1,256,4,8,1.0,True,2000
1,256,8,1,0.2,True,2070
1,256,8,1,1.0,True,2010
1,256,8,2,0.2,True,2060
1,256,8,2,1.0,True,2000
1,256,8,4,0.2,True,2050
1,256,8,4,1.0,True,2000
1,256,8,8,0.2,True,2060
1,256,8,8,1.0,True,2000
2,4,1,1,0.2,False,100000
2,4,1,1,1.0,False,100000
2,4,1,2,0.2,False,100000
2,4,1,2,1.0,False,100000
2,4,1,4,0.2,False,100000
2,4,1,4,1.0,False,100000
2,4,2,1,0.2,True,93790
2,4,2,1,1.0,True,26880
2,4,2,2,0.2,False,100000
2,4,2,2,1.0,True,16510
2,4,2,4,0.2,False,100000
2,4,2,4,1.0,True,17460
2,4,4,1,0.2,False,100000
2,4,4,1,1.0,True,9300
2,4,4,2,0.2,False,100000
2,4,4,2,1.0,True,14990
2,4,4,4,0.2,False,100000
2,4,4,4,1.0,True,34760
2,4,8,1,0.2,False,100000
2,4,8,1,1.0,True,27360
2,4,8,2,0.2,True,32660
2,4,8,2,1.0,True,8060
2,4,8,4,0.2,True,75530
2,4,8,4,1.0,True,17480
2,16,1,1,0.2,True,9610
2,16,1,1,1.0,True,15170
2,16,1,2,0.2,True,8730
2,16,1,2,1.0,True,3980
2,16,1,4,0.2,True,9220
2,16,1,4,1.0,True,4890
2,16,1,8,0.2,True,6620
2,16,1,8,1.0,True,3440
2,16,2,1,0.2,True,5690
2,16,2,1,1.0,True,2910
2,16,2,2,0.2,True,4510
2,16,2,2,1.0,True,2490
2,16,2,4,0.2,True,5960
2,16,2,4,1.0,True,3320
2,16,2,8,0.2,True,5270
2,16,2,8,1.0,True,2820
2,16,4,1,0.2,True,4550
2,16,4,1,1.0,True,2570
2,16,4,2,0.2,True,4980
2,16,4,2,1.0,True,2810
2,16,4,4,0.2,True,3400
2,16,4,4,1.0,True,2470
2,16,4,8,0.2,True,3370
2,16,4,8,1.0,True,2480
2,16,8,1,0.2,True,5100
2,16,8,1,1.0,True,2360
2,16,8,2,0.2,True,3180
2,16,8,2,1.0,True,2520
2,16,8,4,0.2,True,4200
2,16,8,4,1.0,True,2480
2,16,8,8,0.2,True,3630
2,16,8,8,1.0,True,2400
2,64,1,1,0.2,True,6920
2,64,1,1,1.0,True,2690
2,64,1,2,0.2,True,7040
2,64,1,2,1.0,True,2740
2,64,1,4,0.2,True,3840
2,64,1,4,1.0,True,2980
2,64,1,8,0.2,True,4380
2,64,1,8,1.0,True,2890
2,64,2,1,0.2,True,3530
2,64,2,1,1.0,True,2430
2,64,2,2,0.2,True,3690
2,64,2,2,1.0,True,2290
2,64,2,4,0.2,True,3050
2,64,2,4,1.0,True,2240
2,64,2,8,0.2,True,3540
2,64,2,8,1.0,True,2270
2,64,4,1,0.2,True,3660
2,64,4,1,1.0,True,2140
2,64,4,2,0.2,True,2970
2,64,4,2,1.0,True,2110
2,64,4,4,0.2,True,2760
2,64,4,4,1.0,True,2190
2,64,4,8,0.2,True,2630
2,64,4,8,1.0,True,2180
2,64,8,1,0.2,True,3050
2,64,8,1,1.0,True,2130
2,64,8,2,0.2,True,2600
2,64,8,2,1.0,True,2110
2,64,8,4,0.2,True,2560
2,64,8,4,1.0,True,2190
2,64,8,8,0.2,True,3020
2,64,8,8,1.0,True,2100
2,256,1,1,0.2,True,8930
2,256,1,1,1.0,False,100000
2,256,1,2,0.2,True,11150
2,256,1,2,1.0,True,6320
2,256,1,4,0.2,True,5740
2,256,1,4,1.0,True,3940
2,256,1,8,0.2,True,4930
2,256,1,8,1.0,True,5290
2,256,2,1,0.2,True,45640
2,256,2,1,1.0,True,45500
2,256,2,2,0.2,True,9250
2,256,2,2,1.0,True,15740
2,256,2,4,0.2,True,39090
2,256,2,4,1.0,True,24410
2,256,2,8,0.2,True,4440
2,256,2,8,1.0,True,3360
2,256,4,1,0.2,True,4950
2,256,4,1,1.0,False,100000
2,256,4,2,0.2,False,100000
2,256,4,2,1.0,False,100000
2,256,4,4,0.2,True,4530
2,256,4,4,1.0,False,100000
2,256,4,8,0.2,True,4740
2,256,4,8,1.0,False,100000
2,256,8,1,0.2,True,4790
2,256,8,1,1.0,False,100000
2,256,8,2,0.2,True,2920
2,256,8,2,1.0,False,100000
2,256,8,4,0.2,False,100000
2,256,8,4,1.0,False,100000
2,256,8,8,0.2,True,3660
2,256,8,8,1.0,False,100000
4,4,1,1,0.2,False,100000
4,4,1,1,1.0,False,100000
4,4,1,2,0.2,False,100000
4,4,1,2,1.0,False,100000
4,4,1,4,0.2,False,100000
4,4,1,4,1.0,False,100000
4,4,2,1,0.2,False,100000
4,4,2,1,1.0,False,100000
4,4,2,2,0.2,False,100000
4,4,2,2,1.0,False,100000
4,4,2,4,0.2,False,100000
4,4,2,4,1.0,False,100000
4,4,4,1,0.2,False,100000
4,4,4,1,1.0,False,100000
4,4,4,2,0.2,False,100000
4,4,4,2,1.0,False,100000
4,4,4,4,0.2,False,100000
4,4,4,4,1.0,False,100000
4,4,8,1,0.2,False,100000
4,4,8,1,1.0,False,100000
4,4,8,2,0.2,False,100000
4,4,8,2,1.0,False,100000
4,4,8,4,0.2,False,100000
4,4,8,4,1.0,False,100000
4,16,1,1,0.2,True,67710
4,16,1,1,1.0,True,43190
4,16,1,2,0.2,True,40000
4,16,1,2,1.0,True,27220
4,16,1,4,0.2,True,34490
4,16,1,4,1.0,True,14570
4,16,1,8,0.2,True,35750
4,16,1,8,1.0,True,13880
4,16,2,1,0.2,True,22520
4,16,2,1,1.0,True,10090
4,16,2,2,0.2,True,25150
4,16,2,2,1.0,True,12530
4,16,2,4,0.2,True,18410
4,16,2,4,1.0,True,7630
4,16,2,8,0.2,True,22520
4,16,2,8,1.0,True,8360
4,16,4,1,0.2,True,14750
4,16,4,1,1.0,True,7670
4,16,4,2,0.2,True,13360
4,16,4,2,1.0,True,5510
4,16,4,4,0.2,True,13670
4,16,4,4,1.0,True,5600
4,16,4,8,0.2,True,11210
4,16,4,8,1.0,True,3800
4,16,8,1,0.2,True,9100
4,16,8,1,1.0,True,3630
4,16,8,2,0.2,True,9050
4,16,8,2,1.0,True,3580
4,16,8,4,0.2,True,12340
4,16,8,4,1.0,True,4140
4,16,8,8,0.2,True,9080
4,16,8,8,1.0,True,3580
4,64,1,1,0.2,True,15990
4,64,1,1,1.0,True,8280
4,64,1,2,0.2,True,12140
4,64,1,2,1.0,True,8220
4,64,1,4,0.2,True,11900
4,64,1,4,1.0,True,6110
4,64,1,8,0.2,True,9950
4,64,1,8,1.0,True,5140
4,64,2,1,0.2,True,10660
4,64,2,1,1.0,True,6980
4,64,2,2,0.2,True,8280
4,64,2,2,1.0,True,5320
4,64,2,4,0.2,True,8540
4,64,2,4,1.0,True,3650
4,64,2,8,0.2,True,7340
4,64,2,8,1.0,True,3690
4,64,4,1,0.2,True,8290
4,64,4,1,1.0,True,4210
4,64,4,2,0.2,True,6060
4,64,4,2,1.0,True,3740
4,64,4,4,0.2,True,5240
4,64,4,4,1.0,True,3050
4,64,4,8,0.2,True,4930
4,64,4,8,1.0,True,2480
4,64,8,1,0.2,True,5200
4,64,8,1,1.0,True,3380
4,64,8,2,0.2,True,5080
4,64,8,2,1.0,True,2570
4,64,8,4,0.2,True,4960
4,64,8,4,1.0,True,4260
4,64,8,8,0.2,True,4200
4,64,8,8,1.0,True,2580
4,256,1,1,0.2,True,19390
4,256,1,1,1.0,True,8360
4,256,1,2,0.2,True,20510
4,256,1,2,1.0,True,7340
4,256,1,4,0.2,True,10860
4,256,1,4,1.0,True,8360
4,256,1,8,0.2,True,18050
4,256,1,8,1.0,True,8050
4,256,2,1,0.2,False,100000
4,256,2,1,1.0,True,10670
4,256,2,2,0.2,False,100000
4,256,2,2,1.0,True,9080
4,256,2,4,0.2,False,100000
4,256,2,4,1.0,True,7920
4,256,2,8,0.2,True,5280
4,256,2,8,1.0,True,12810
4,256,4,1,0.2,False,100000
4,256,4,1,1.0,True,12440
4,256,4,2,0.2,False,100000
4,256,4,2,1.0,False,100000
4,256,4,4,0.2,False,100000
4,256,4,4,1.0,True,13400
4,256,4,8,0.2,True,6640
4,256,4,8,1.0,True,19370
4,256,8,1,0.2,False,100000
4,256,8,1,1.0,False,100000
4,256,8,2,0.2,False,100000
4,256,8,2,1.0,False,100000
4,256,8,4,0.2,False,100000
4,256,8,4,1.0,False,100000
4,256,8,8,0.2,True,7060
4,256,8,8,1.0,False,100000
8,4,1,1,0.2,False,100000
8,4,1,1,1.0,False,100000
8,4,1,2,0.2,False,100000
8,4,1,2,1.0,False,100000
8,4,1,4,0.2,False,100000
8,4,1,4,1.0,False,100000
8,4,2,1,0.2,False,100000
8,4,2,1,1.0,False,100000
8,4,2,2,0.2,False,100000
8,4,2,2,1.0,False,100000
8,4,2,4,0.2,False,100000
8,4,2,4,1.0,False,100000
8,4,4,1,0.2,False,100000
8,4,4,1,1.0,False,100000
8,4,4,2,0.2,False,100000
8,4,4,2,1.0,False,100000
8,4,4,4,0.2,False,100000
8,4,4,4,1.0,False,100000
8,4,8,1,0.2,True,30250
8,4,8,1,1.0,False,100000
8,4,8,2,0.2,False,100000
8,4,8,2,1.0,False,100000
8,4,8,4,0.2,True,89650
8,4,8,4,1.0,False,100000
8,16,1,1,0.2,False,100000
8,16,1,1,1.0,False,100000
8,16,1,2,0.2,False,100000
8,16,1,2,1.0,False,100000
8,16,1,4,0.2,False,100000
8,16,1,4,1.0,False,100000
8,16,1,8,0.2,False,100000
8,16,1,8,1.0,False,100000
8,16,2,1,0.2,True,8300
8,16,2,1,1.0,False,100000
8,16,2,2,0.2,False,100000
8,16,2,2,1.0,True,93470
8,16,2,4,0.2,True,90840
8,16,2,4,1.0,True,26790
8,16,2,8,0.2,True,86590
8,16,2,8,1.0,True,26740
8,16,4,1,0.2,True,53280
8,16,4,1,1.0,True,30330
8,16,4,2,0.2,True,42510
8,16,4,2,1.0,True,25610
8,16,4,4,0.2,True,37370
8,16,4,4,1.0,True,18990
8,16,4,8,0.2,True,29870
8,16,4,8,1.0,True,12860
8,16,8,1,0.2,True,36620
8,16,8,1,1.0,True,11820
8,16,8,2,0.2,True,32470
8,16,8,2,1.0,True,10140
8,16,8,4,0.2,True,23340
8,16,8,4,1.0,True,11350
8,16,8,8,0.2,True,24580
8,16,8,8,1.0,True,9360
8,64,1,1,0.2,False,100000
8,64,1,1,1.0,True,29190
8,64,1,2,0.2,True,51630
8,64,1,2,1.0,True,27060
8,64,1,4,0.2,True,26180
8,64,1,4,1.0,True,27720
8,64,1,8,0.2,True,19510
8,64,1,8,1.0,True,17660
8,64,2,1,0.2,True,28550
8,64,2,1,1.0,True,14570
8,64,2,2,0.2,True,17910
8,64,2,2,1.0,True,15630
8,64,2,4,0.2,True,15100
8,64,2,4,1.0,True,8880
8,64,2,8,0.2,True,12670
8,64,2,8,1.0,True,8520
8,64,4,1,0.2,True,13380
8,64,4,1,1.0,True,9480
8,64,4,2,0.2,True,14910
8,64,4,2,1.0,True,5570
8,64,4,4,0.2,True,13020
8,64,4,4,1.0,True,7280
8,64,4,8,0.2,True,14260
8,64,4,8,1.0,True,5860
8,64,8,1,0.2,True,13960
8,64,8,1,1.0,True,7680
8,64,8,2,0.2,True,10960
8,64,8,2,1.0,True,7080
8,64,8,4,0.2,True,12810
8,64,8,4,1.0,True,5060
8,64,8,8,0.2,True,9140
8,64,8,8,1.0,True,5600
8,256,1,1,0.2,True,32350
8,256,1,1,1.0,True,13620
8,256,1,2,0.2,True,71200
8,256,1,2,1.0,True,11820
8,256,1,4,0.2,True,37330
8,256,1,4,1.0,True,11420
8,256,1,8,0.2,True,33950
8,256,1,8,1.0,True,11920
8,256,2,1,0.2,False,100000
8,256,2,1,1.0,True,17340
8,256,2,2,0.2,True,77200
8,256,2,2,1.0,True,13450
8,256,2,4,0.2,False,100000
8,256,2,4,1.0,True,16270
8,256,2,8,0.2,False,100000
8,256,2,8,1.0,True,20400
8,256,4,1,0.2,False,100000
8,256,4,1,1.0,True,29390
8,256,4,2,0.2,False,100000
8,256,4,2,1.0,True,12670
8,256,4,4,0.2,False,100000
8,256,4,4,1.0,True,22750
8,256,4,8,0.2,False,100000
8,256,4,8,1.0,True,18650
8,256,8,1,0.2,False,100000
8,256,8,1,1.0,False,100000
8,256,8,2,0.2,False,100000
8,256,8,2,1.0,False,100000
8,256,8,4,0.2,False,100000
8,256,8,4,1.0,True,13540
8,256,8,8,0.2,False,100000
8,256,8,8,1.0,True,17430
16,4,1,1,0.2,False,100000
16,4,1,1,1.0,False,100000
16,4,1,2,0.2,False,100000
16,4,1,2,1.0,False,100000
16,4,1,4,0.2,False,100000
16,4,1,4,1.0,False,100000
16,4,2,1,0.2,False,100000
16,4,2,1,1.0,True,23100
16,4,2,2,0.2,False,100000
16,4,2,2,1.0,False,100000
16,4,2,4,0.2,False,100000
16,4,2,4,1.0,False,100000
16,4,4,1,0.2,False,100000
16,4,4,1,1.0,False,100000
16,4,4,2,0.2,False,100000
16,4,4,2,1.0,False,100000
16,4,4,4,0.2,False,100000
16,4,4,4,1.0,False,100000
16,4,8,1,0.2,False,100000
16,4,8,1,1.0,False,100000
16,4,8,2,0.2,False,100000
16,4,8,2,1.0,False,100000
16,4,8,4,0.2,False,100000
16,4,8,4,1.0,False,100000
16,16,1,1,0.2,False,100000
16,16,1,1,1.0,False,100000
16,16,1,2,0.2,False,100000
16,16,1,2,1.0,False,100000
16,16,1,4,0.2,False,100000
16,16,1,4,1.0,False,100000
16,16,1,8,0.2,False,100000
16,16,1,8,1.0,False,100000
16,16,2,1,0.2,False,100000
16,16,2,1,1.0,False,100000
16,16,2,2,0.2,False,100000
16,16,2,2,1.0,False,100000
16,16,2,4,0.2,False,100000
16,16,2,4,1.0,False,100000
16,16,2,8,0.2,False,100000
16,16,2,8,1.0,False,100000
16,16,4,1,0.2,False,100000
16,16,4,1,1.0,False,100000
16,16,4,2,0.2,False,100000
16,16,4,2,1.0,False,100000
16,16,4,4,0.2,False,100000
16,16,4,4,1.0,False,100000
16,16,4,8,0.2,False,100000
16,16,4,8,1.0,True,94400
16,16,8,1,0.2,False,100000
16,16,8,1,1.0,True,91850
16,16,8,2,0.2,True,83450
16,16,8,2,1.0,True,69310
16,16,8,4,0.2,True,72730
16,16,8,4,1.0,True,66020
16,16,8,8,0.2,True,52750
16,16,8,8,1.0,True,36210
16,64,1,1,0.2,False,100000
16,64,1,1,1.0,False,100000
16,64,1,2,0.2,False,100000
16,64,1,2,1.0,False,100000
16,64,1,4,0.2,False,100000
16,64,1,4,1.0,False,100000
16,64,1,8,0.2,False,100000
16,64,1,8,1.0,False,100000
16,64,2,1,0.2,True,84800
16,64,2,1,1.0,True,40380
16,64,2,2,0.2,True,39280
16,64,2,2,1.0,True,20580
16,64,2,4,0.2,True,41380
16,64,2,4,1.0,True,24600
16,64,2,8,0.2,True,24240
16,64,2,8,1.0,True,24610
16,64,4,1,0.2,True,35410
16,64,4,1,1.0,True,19210
16,64,4,2,0.2,True,23760
16,64,4,2,1.0,True,17740
16,64,4,4,0.2,True,23860
16,64,4,4,1.0,True,12050
16,64,4,8,0.2,True,26780
16,64,4,8,1.0,True,14600
16,64,8,1,0.2,True,21970
16,64,8,1,1.0,True,18260
16,64,8,2,0.2,True,30020
16,64,8,2,1.0,True,22130
16,64,8,4,0.2,True,30200
16,64,8,4,1.0,True,14920
16,64,8,8,0.2,True,16190
16,64,8,8,1.0,True,10000
16,256,1,1,0.2,False,100000
16,256,1,1,1.0,False,100000
16,256,1,2,0.2,True,83860
16,256,1,2,1.0,True,47760
16,256,1,4,0.2,True,82360
16,256,1,4,1.0,True,27160
16,256,1,8,0.2,True,51820
16,256,1,8,1.0,True,18650
16,256,2,1,0.2,False,100000
16,256,2,1,1.0,True,21740
16,256,2,2,0.2,True,85300
16,256,2,2,1.0,True,19850
16,256,2,4,0.2,False,100000
16,256,2,4,1.0,True,21130
16,256,2,8,0.2,False,100000
16,256,2,8,1.0,True,29860
16,256,4,1,0.2,False,100000
16,256,4,1,1.0,False,100000
16,256,4,2,0.2,False,100000
16,256,4,2,1.0,True,28670
16,256,4,4,0.2,False,100000
16,256,4,4,1.0,True,20630
16,256,4,8,0.2,False,100000
16,256,4,8,1.0,True,26500
16,256,8,1,0.2,False,100000
16,256,8,1,1.0,False,100000
16,256,8,2,0.2,False,100000
16,256,8,2,1.0,False,100000
16,256,8,4,0.2,False,100000
16,256,8,4,1.0,True,28950
16,256,8,8,0.2,False,100000
16,256,8,8,1.0,True,27730
32,4,1,1,0.2,False,100000
32,4,1,1,1.0,False,100000
32,4,1,2,0.2,False,100000
32,4,1,2,1.0,False,100000
32,4,1,4,0.2,False,100000
32,4,1,4,1.0,False,100000
32,4,2,1,0.2,False,100000
32,4,2,1,1.0,False,100000
32,4,2,2,0.2,False,100000
32,4,2,2,1.0,False,100000
32,4,2,4,0.2,False,100000
32,4,2,4,1.0,False,100000
32,4,4,1,0.2,False,100000
32,4,4,1,1.0,False,100000
32,4,4,2,0.2,False,100000
32,4,4,2,1.0,False,100000
32,4,4,4,0.2,False,100000
32,4,4,4,1.0,False,100000
32,4,8,1,0.2,False,100000
32,4,8,1,1.0,False,100000
32,4,8,2,0.2,False,100000
32,4,8,2,1.0,False,100000
32,4,8,4,0.2,False,100000
32,4,8,4,1.0,False,100000
32,16,1,1,0.2,False,100000
32,16,1,1,1.0,False,100000
32,16,1,2,0.2,False,100000
32,16,1,2,1.0,False,100000
32,16,1,4,0.2,False,100000
32,16,1,4,1.0,False,100000
32,16,1,8,0.2,False,100000
32,16,1,8,1.0,False,100000
32,16,2,1,0.2,False,100000
32,16,2,1,1.0,False,100000
32,16,2,2,0.2,False,100000
32,16,2,2,1.0,False,100000
32,16,2,4,0.2,False,100000
32,16,2,4,1.0,False,100000
32,16,2,8,0.2,False,100000
32,16,2,8,1.0,False,100000
32,16,4,1,0.2,False,100000
32,16,4,1,1.0,False,100000
32,16,4,2,0.2,False,100000
32,16,4,2,1.0,False,100000
32,16,4,4,0.2,False,100000
32,16,4,4,1.0,False,100000
32,16,4,8,0.2,False,100000
32,16,4,8,1.0,False,100000
32,16,8,1,0.2,False,100000
32,16,8,1,1.0,False,100000
32,16,8,2,0.2,False,100000
32,16,8,2,1.0,False,100000
32,16,8,4,0.2,False,100000
32,16,8,4,1.0,False,100000
32,16,8,8,0.2,False,100000
32,16,8,8,1.0,False,100000
32,64,1,1,0.2,False,100000
32,64,1,1,1.0,False,100000
32,64,1,2,0.2,False,100000
32,64,1,2,1.0,False,100000
32,64,1,4,0.2,False,100000
32,64,1,4,1.0,False,100000
32,64,1,8,0.2,False,100000
32,64,1,8,1.0,False,100000
32,64,2,1,0.2,False,100000
32,64,2,1,1.0,True,99060
32,64,2,2,0.2,False,100000
32,64,2,2,1.0,False,100000
32,64,2,4,0.2,False,100000
32,64,2,4,1.0,True,60180
32,64,2,8,0.2,True,81420
32,64,2,8,1.0,True,55930
32,64,4,1,0.2,False,100000
32,64,4,1,1.0,True,66060
32,64,4,2,0.2,True,66090
32,64,4,2,1.0,True,58510
32,64,4,4,0.2,True,58420
32,64,4,4,1.0,True,46050
32,64,4,8,0.2,True,54470
32,64,4,8,1.0,True,36270
32,64,8,1,0.2,False,100000
32,64,8,1,1.0,True,80690
32,64,8,2,0.2,True,48930
32,64,8,2,1.0,True,54450
32,64,8,4,0.2,True,36120
32,64,8,4,1.0,True,41860
32,64,8,8,0.2,True,42890
32,64,8,8,1.0,True,34730
32,256,1,1,0.2,False,100000
32,256,1,1,1.0,False,100000
32,256,1,2,0.2,False,100000
32,256,1,2,1.0,True,79090
32,256,1,4,0.2,False,100000
32,256,1,4,1.0,False,100000
32,256,1,8,0.2,False,100000
32,256,1,8,1.0,True,49990
32,256,2,1,0.2,False,100000
32,256,2,1,1.0,False,100000
32,256,2,2,0.2,True,66680
32,256,2,2,1.0,True,67380
32,256,2,4,0.2,True,78200
32,256,2,4,1.0,True,68220
32,256,2,8,0.2,True,47870
32,256,2,8,1.0,True,96320
32,256,4,1,0.2,True,84190
32,256,4,1,1.0,False,100000
32,256,4,2,0.2,False,100000
32,256,4,2,1.0,True,59390
32,256,4,4,0.2,False,100000
32,256,4,4,1.0,True,48620
32,256,4,8,0.2,True,58650
32,256,4,8,1.0,True,52550
32,256,8,1,0.2,False,100000
32,256,8,1,1.0,False,100000
32,256,8,2,0.2,False,100000
32,256,8,2,1.0,True,83400
32,256,8,4,0.2,False,100000
32,256,8,4,1.0,True,46930
32,256,8,8,0.2,True,36200
32,256,8,8,1.0,True,61770
64,4,1,1,0.2,False,100000
64,4,1,1,1.0,False,100000
64,4,1,2,0.2,False,100000
64,4,1,2,1.0,True,68700
64,4,1,4,0.2,False,100000
64,4,1,4,1.0,False,100000
64,4,2,1,0.2,True,30300
64,4,2,1,1.0,True,63350
64,4,2,2,0.2,False,100000
64,4,2,2,1.0,False,100000
64,4,2,4,0.2,False,100000
64,4,2,4,1.0,False,100000
64,4,4,1,0.2,False,100000
64,4,4,1,1.0,True,33250
64,4,4,2,0.2,True,5150
64,4,4,2,1.0,False,100000
64,4,4,4,0.2,False,100000
64,4,4,4,1.0,True,71950
64,4,8,1,0.2,False,100000
64,4,8,1,1.0,False,100000
64,4,8,2,0.2,False,100000
64,4,8,2,1.0,False,100000
64,4,8,4,0.2,False,100000
64,4,8,4,1.0,False,100000
64,16,1,1,0.2,False,100000
64,16,1,1,1.0,False,100000
64,16,1,2,0.2,False,100000
64,16,1,2,1.0,False,100000
64,16,1,4,0.2,False,100000
64,16,1,4,1.0,False,100000
64,16,1,8,0.2,True,94050
64,16,1,8,1.0,True,91900
64,16,2,1,0.2,True,95300
64,16,2,1,1.0,True,87200
64,16,2,2,0.2,True,95950
64,16,2,2,1.0,False,100000
64,16,2,4,0.2,True,75600
64,16,2,4,1.0,True,78150
64,16,2,8,0.2,True,49250
64,16,2,8,1.0,True,66800
64,16,4,1,0.2,True,61200
64,16,4,1,1.0,False,100000
64,16,4,2,0.2,False,100000
64,16,4,2,1.0,True,54650
64,16,4,4,0.2,True,35450
64,16,4,4,1.0,True,31000
64,16,4,8,0.2,False,100000
64,16,4,8,1.0,False,100000
64,16,8,1,0.2,True,61150
64,16,8,1,1.0,True,9650
64,16,8,2,0.2,False,100000
64,16,8,2,1.0,False,100000
64,16,8,4,0.2,True,15750
64,16,8,4,1.0,False,100000
64,16,8,8,0.2,False,100000
64,16,8,8,1.0,False,100000
64,64,1,1,0.2,False,100000
64,64,1,1,1.0,False,100000
64,64,1,2,0.2,True,6650
64,64,1,2,1.0,False,100000
64,64,1,4,0.2,False,100000
64,64,1,4,1.0,False,100000
64,64,1,8,0.2,False,100000
64,64,1,8,1.0,False,100000
64,64,2,1,0.2,False,100000
64,64,2,1,1.0,True,29550
64,64,2,2,0.2,False,100000
64,64,2,2,1.0,False,100000
64,64,2,4,0.2,False,100000
64,64,2,4,1.0,False,100000
64,64,2,8,0.2,False,100000
64,64,2,8,1.0,False,100000
64,64,4,1,0.2,False,100000
64,64,4,1,1.0,False,100000
64,64,4,2,0.2,False,100000
64,64,4,2,1.0,False,100000
64,64,4,4,0.2,False,100000
64,64,4,4,1.0,False,100000
64,64,4,8,0.2,False,100000
64,64,4,8,1.0,False,100000
64,64,8,1,0.2,False,100000
64,64,8,1,1.0,True,96150
64,64,8,2,0.2,True,95950
64,64,8,2,1.0,False,100000
64,64,8,4,0.2,False,100000
64,64,8,4,1.0,False,100000
64,64,8,8,0.2,True,68020
64,64,8,8,1.0,True,95390
64,256,1,1,0.2,True,10850
64,256,1,1,1.0,False,100000
64,256,1,2,0.2,True,45500
64,256,1,2,1.0,True,44150
64,256,1,4,0.2,True,28100
64,256,1,4,1.0,False,100000
64,256,1,8,0.2,False,100000
64,256,1,8,1.0,False,100000
64,256,2,1,0.2,False,100000
64,256,2,1,1.0,False,100000
